magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],timestamp,DTMode
0.2763033,-0.03456874,0.47268188,12857000,2_3
0.27374995,-0.033398744,0.47339913,12879000,2_3
0.2756534,-0.03474163,0.4725135,12900000,2_3
0.27529967,-0.03352763,0.47425413,12923000,2_3
0.27544153,-0.034880716,0.47148645,12943000,2_3
0.27731284,-0.033102497,0.4749434,12967000,2_3
0.27584478,-0.03397576,0.47333232,12988000,2_3
0.2740971,-0.03266884,0.47349167,13011000,2_3
0.276002,-0.03334803,0.47350287,13031000,2_3
0.2735076,-0.03458315,0.4739011,13051000,2_3
0.27433047,-0.034407984,0.4721307,13072000,2_3
0.27524954,-0.035290677,0.47369045,13096000,2_3
0.27614096,-0.031878754,0.47239208,13119000,2_3
0.27445313,-0.03317116,0.4737683,13139000,2_3
0.27544892,-0.032583077,0.4731495,13160000,2_3
0.27502638,-0.035301793,0.47329602,13183000,2_3
0.2745791,-0.03419097,0.4736193,13203000,2_3
0.27317917,-0.033614673,0.47315773,13228000,2_3
0.27615958,-0.034145366,0.47439432,13248000,2_3
0.27453077,-0.033015262,0.47246608,13271000,2_3
0.2768988,-0.034002554,0.47487798,13293000,2_3
0.2747256,-0.035167556,0.47338358,13317000,2_3
0.2770808,-0.034833305,0.47256276,13340000,2_3
0.27528822,-0.03258325,0.47271407,13363000,2_3
0.27424535,-0.033188365,0.47252303,13384000,2_3
0.27503237,-0.033933274,0.47375372,13408000,2_3
0.27300033,-0.03216845,0.47136354,13431000,2_3
0.27557462,-0.035057463,0.47290385,13452000,2_3
0.2776854,-0.035490222,0.47065789,13472000,2_3
0.27497548,-0.033474002,0.4726537,13493000,2_3
0.2735915,-0.0347356,0.47344062,13517000,2_3
0.27429786,-0.035166655,0.47341105,13537000,2_3
0.27469978,-0.032072738,0.4726599,13561000,2_3
0.27295795,-0.033233553,0.47144008,13583000,2_3
0.27543205,-0.032521676,0.47182855,13604000,2_3
0.2762321,-0.032967564,0.472838,13631000,2_3
0.27431044,-0.034311652,0.4732716,13652000,2_3
0.2758913,-0.033104774,0.47244,13676000,2_3
0.27463466,-0.03519632,0.4736405,13698000,2_3
0.27606764,-0.033568125,0.47305828,13719000,2_3
0.27381554,-0.033269674,0.47469577,13739000,2_3
0.27630588,-0.034317005,0.4736205,13759000,2_3
0.27428487,-0.033818908,0.4730866,13781000,2_3
0.27371842,-0.0328986,0.4730753,13803000,2_3
0.2769586,-0.035044868,0.47514546,13823000,2_3
0.27670866,-0.03483502,0.47363764,13844000,2_3
0.27489853,-0.03339329,0.4720748,13868000,2_3
0.27610657,-0.03549992,0.47453293,13892000,2_3
0.27679345,-0.03506088,0.47457612,13912000,2_3
0.27525976,-0.03418556,0.4744371,13933000,2_3
0.27520016,-0.03385503,0.47285104,13957000,2_3
0.27575812,-0.036056604,0.47388345,13980000,2_3
0.27433294,-0.035405736,0.47285596,14001000,2_3
0.27480954,-0.03269184,0.471463,14021000,2_3
0.2755655,-0.03300233,0.4738341,14043000,2_3
0.27439648,-0.03511305,0.4743147,14067000,2_3
0.27322367,-0.034125835,0.47307873,14087000,2_3
0.27589634,-0.034876723,0.4720323,14108000,2_3
0.27504843,-0.03587149,0.47424054,14128000,2_3
0.27456474,-0.034188367,0.47449675,14151000,2_3
0.2749961,-0.035000883,0.47197285,14172000,2_3
0.27519986,-0.032762777,0.47379008,14192000,2_3
0.27589056,-0.034722544,0.47246632,14212000,2_3
0.27370176,-0.03400667,0.47195455,14232000,2_3
0.2749586,-0.033394855,0.47338024,14252000,2_3
0.27505952,-0.035923082,0.4735685,14272000,2_3
0.27389133,-0.03481771,0.47267544,14296000,2_3
0.27595553,-0.033219922,0.47401118,14320000,2_3
0.27672282,-0.032906067,0.47553563,14343000,2_3
0.27553576,-0.033345666,0.4739349,14364000,2_3
0.27266842,-0.035886243,0.4734605,14388000,2_3
0.27348644,-0.036127307,0.4748224,14412000,2_3
0.27567846,-0.036492273,0.47342953,14441000,2_3
0.27447948,-0.03677113,0.4732801,14464000,2_3
0.27210853,-0.034052063,0.47488993,14487000,2_3
0.27322584,-0.03633773,0.4734315,14510000,2_3
0.27517757,-0.03585064,0.4728503,14532000,2_3
0.27536032,-0.033607334,0.47373986,14557000,2_3
0.27493712,-0.03688068,0.4718932,14577000,2_3
0.2733594,-0.036138695,0.47266865,14597000,2_3
0.2742845,-0.037076317,0.4744793,14619000,2_3
0.27578056,-0.034820933,0.47299123,14639000,2_3
0.27421194,-0.033412497,0.47470018,14659000,2_3
0.27369222,-0.036716968,0.47411785,14680000,2_3
0.27593374,-0.034812957,0.4730115,14700000,2_3
0.27490395,-0.037139494,0.47375152,14723000,2_3
0.27276316,-0.03453926,0.47379217,14743000,2_3
0.27546245,-0.035864525,0.47240922,14764000,2_3
0.2744198,-0.035952825,0.47543177,14787000,2_3
0.2767338,-0.036569227,0.47240153,14808000,2_3
0.27318883,-0.036208462,0.47189045,14828000,2_3
0.27498728,-0.033734627,0.47362307,14852000,2_3
0.27379513,-0.035418686,0.47261032,14872000,2_3
0.2757893,-0.0343578,0.47411394,14895000,2_3
0.2736395,-0.03425762,0.4728367,14915000,2_3
0.27449986,-0.034553435,0.4738717,14935000,2_3
0.2759622,-0.035051834,0.474331,14955000,2_3
0.27384207,-0.037034415,0.47467107,14976000,2_3
0.27559224,-0.033203684,0.47342086,15000000,2_3
0.27472705,-0.03527364,0.47344348,15027000,2_3
0.27457485,-0.035715714,0.47384372,15051000,2_3
0.27514502,-0.035837274,0.47293696,15072000,2_3
0.27488104,-0.033784147,0.47451288,15092000,2_3
0.27571112,-0.03328558,0.4726354,15116000,2_3
0.2771187,-0.03436842,0.47289297,15139000,2_3
0.27642837,-0.032739084,0.47294083,15160000,2_3
0.2754813,-0.032807622,0.47226763,15183000,2_3
0.2765553,-0.03585353,0.47190958,15203000,2_3
0.27349964,-0.03333378,0.47365686,15223000,2_3
0.27682415,-0.034143504,0.47205767,15243000,2_3
0.27561307,-0.035682626,0.4734106,15263000,2_3
0.27721834,-0.033313215,0.4733656,15283000,2_3
0.2752606,-0.034985483,0.47098923,15304000,2_3
0.2752584,-0.03376027,0.4724484,15327000,2_3
0.27596992,-0.03465443,0.47431865,15347000,2_3
0.27867985,-0.034169666,0.47228336,15367000,2_3
0.2751396,-0.035582345,0.47191334,15391000,2_3
0.27692613,-0.033360995,0.47339827,15412000,2_3
0.27653825,-0.035660625,0.47402415,15435000,2_3
0.27482343,-0.032032102,0.4724764,15457000,2_3
0.2762757,-0.03431449,0.47394514,15481000,2_3
0.27697006,-0.0345386,0.47332114,15503000,2_3
0.2772722,-0.034829494,0.47257325,15523000,2_3
0.27384135,-0.03462163,0.47430515,15543000,2_3
0.2737931,-0.035800483,0.4719007,15563000,2_3
0.27545068,-0.03556702,0.47125185,15584000,2_3
0.27626616,-0.033493955,0.4741504,15605000,2_3
0.27346858,-0.03379739,0.47561008,15628000,2_3
0.275366,-0.032526843,0.47310925,15653000,2_3
0.27314255,-0.03427332,0.47235012,15675000,2_3
0.27541304,-0.034215245,0.47311258,15695000,2_3
0.277077,-0.03572024,0.4734195,15715000,2_3
0.2738918,-0.03441,0.47533154,15735000,2_3
0.27584478,-0.033084348,0.47583824,15755000,2_3
0.27477527,-0.032203343,0.470559,15776000,2_3
0.27410266,-0.03264078,0.47346002,15797000,2_3
0.27531815,-0.033278022,0.47331834,15817000,2_3
0.27491376,-0.03492861,0.47262502,15839000,2_3
0.27484474,-0.034994148,0.47247705,15860000,2_3
0.27517074,-0.033033375,0.47419438,15883000,2_3
0.2776404,-0.03310622,0.47329068,15903000,2_3
0.27619797,-0.03417254,0.4748074,15924000,2_3
0.2752298,-0.033925354,0.47365928,15948000,2_3
0.27549997,-0.03294554,0.47414106,15972000,2_3
0.27508718,-0.03469941,0.47095427,15992000,2_3
0.2760314,-0.033371363,0.47265545,16012000,2_3
0.27463943,-0.0349553,0.47389907,16033000,2_3
0.2738427,-0.03370686,0.47375527,16055000,2_3
0.27479753,-0.03434539,0.47235146,16075000,2_3
0.2779493,-0.033664435,0.47239748,16095000,2_3
0.27442563,-0.035476457,0.47446164,16116000,2_3
0.27725244,-0.03459337,0.47332954,16139000,2_3
0.27491644,-0.03577609,0.47338358,16159000,2_3
0.2754301,-0.032208353,0.47338387,16180000,2_3
0.2744685,-0.03391813,0.4718225,16200000,2_3
0.2762929,-0.034039367,0.4741229,16220000,2_3
0.2750615,-0.032937568,0.47393775,16241000,2_3
0.2762123,-0.03434138,0.4716744,16263000,2_3
0.27567166,-0.03405276,0.474291,16283000,2_3
0.27669993,-0.032234233,0.4736901,16303000,2_3
0.2771302,-0.03417514,0.47464648,16327000,2_3
0.2762651,-0.032884445,0.47461644,16348000,2_3
0.27488944,-0.03458118,0.47228765,16368000,2_3
0.27440187,-0.032130796,0.47336936,16392000,2_3
0.27689517,-0.034619585,0.47213468,16413000,2_3
0.2760745,-0.034345318,0.47391826,16437000,2_3
0.27575558,-0.03332795,0.4715828,16457000,2_3
0.27586457,-0.03279069,0.47418854,16479000,2_3
0.27573648,-0.035803534,0.4740327,16500000,2_3
0.27676344,-0.03239886,0.47328708,16521000,2_3
0.2772853,-0.034268487,0.47444782,16543000,2_3
0.27375227,-0.034382988,0.47314984,16563000,2_3
0.27584454,-0.03333378,0.4727586,16583000,2_3
0.2765537,-0.03287391,0.4713235,16603000,2_3
0.27641237,-0.03363542,0.47534963,16623000,2_3
0.27376214,-0.03477705,0.47302458,16644000,2_3
0.2758928,-0.03599061,0.4725637,16667000,2_3
