timestamp,hpos_drift_rate,vpos_drift_rate,hspd,blocked
5000000,0.0,0.0,0.0,1
5107000,0.0,0.0,0.0,1
5899000,0.0,0.0,0.0,1
6999000,0.0,0.0,0.0,1
7907000,0.0,0.0,0.0,1
8913000,0.0,0.0,0.0,1
9915000,0.0,0.0,0.0,1
10925000,0.0,0.0,0.0,1
11942000,0.0,0.0,0.0,1
12936000,0.0,0.0,0.0,1
13936000,0.0,0.0,0.0,1
14947000,0.0,0.0,0.0,1
15955000,0.0,0.0,0.0,1
16988000,0.0,0.0,0.0,1
17915000,0.0,0.0,0.0,1
18916000,0.0,0.0,0.0,1
19916000,0.0,0.0,0.0,1
20920000,0.0,0.0,0.0,1
21120000,0.0,0.0,0.0,1
48891000,0.0,0.0,0.0,1
48996000,0.0,0.0,0.0,1
49800000,0.0,0.0,0.0,1
50811000,0.0,0.0,0.0,1
